start_station_name,member_casual,number_of_rides
California Ave & North Ave,casual,2273
California Ave & North Ave,member,3054
California Ave & Ogden Ave,casual,3
California Ave & Ogden Ave,member,2
California Ave & Pershing Rd,casual,7
California Ave & Pershing Rd,member,5
California Ave & Touhy Ave - NW,casual,10
California Ave & Touhy Ave - NW,member,4
California Ave & Touhy Ave - SW,member,1
California Ave & Winona St,casual,228
California Ave & Winona St,member,516
Calumet Ave & 103rd St,casual,3
Calumet Ave & 18th St,casual,3946
Calumet Ave & 18th St,member,5106
Calumet Ave & 21st St,casual,2601
Calumet Ave & 21st St,member,1877
Calumet Ave & 33rd St,casual,1052
Calumet Ave & 33rd St,member,7552
Calumet Ave & 35th St,casual,587
Calumet Ave & 35th St,member,2390
Calumet Ave & 51st St,casual,529
Calumet Ave & 51st St,member,657
Calumet Ave & 71st St,casual,52
Calumet Ave & 71st St,member,36
Calumet Ave & Garfield Blvd,casual,10
Calumet Ave & Garfield Blvd,member,7
Calumet Park,casual,207
Calumet Park,member,60
Campbell Ave & 51st St,casual,91
Campbell Ave & 51st St,member,31
Campbell Ave & Augusta Blvd,casual,4
Campbell Ave & Augusta Blvd,member,4
Campbell Ave & Fullerton Ave,casual,2027
Campbell Ave & Fullerton Ave,member,2034
Campbell Ave & Irving Park Rd,casual,305
Campbell Ave & Irving Park Rd,member,259
Campbell Ave & Montrose Ave,casual,938
Campbell Ave & Montrose Ave,member,2278
Campbell Ave & Montrose Ave (Temp),casual,51
Campbell Ave & Montrose Ave (Temp),member,157
Campbell Ave & North Ave,casual,3121
Campbell Ave & North Ave,member,3831
Canal St & Adams St,casual,6747
Canal St & Adams St,member,17282
Canal St & Harrison St,casual,1047
Canal St & Harrison St,member,2275
Canal St & Jackson Blvd,casual,3666
Canal St & Jackson Blvd,member,9125
Canal St & Madison St,casual,4332
Canal St & Madison St,member,11273
Canal St & Monroe St,casual,3699
Canal St & Monroe St,member,10381
Canal St & Taylor St,casual,2566
